age,healthy,surgery_util,init HSBO,init hysterectomy,surgical comps,HSBO,hysterectomy,gyn surveillance,undetected OC,undetected EC,init OC local,init OC regional,init OC distant,OC local,OC regional,OC distant,init EC local,init EC regional,init EC distant,EC local,EC regional,EC distant,OC death,EC death,AC death OC,AC death EC,HSBO death comps,hysterectomy death comps,AC death HSBO,AC death hysterectomy,AC death
25,1,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.89,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.89,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.89,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.89,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.89,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.89,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.89,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.89,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.89,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.89,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.87,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.87,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.87,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.87,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.87,HSBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.87,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.87,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.87,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.87,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.87,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.87,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0.87,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0.87,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.87,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0.87,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.87,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0.87,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.87,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0.87,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0.87,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.84,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0.84,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.84,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0.84,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0.84,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0.84,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0.84,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0.84,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0.84,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0.84,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0.84,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
